sample_id,aging_step,aging_class,source_file,total_fluorescence,max_intensity,tocopherol_like_Ex300_340_Em320_380,oxidation_like_Ex350_450_Em400_520,chlorophyll_like_Ex350_460_Em650_750,red_band_Em600_750,blue_green_Em380_520,bin_Ex300_340_Em300_350,bin_Ex300_340_Em350_400,bin_Ex300_340_Em400_450,bin_Ex300_340_Em450_500,bin_Ex300_340_Em500_550,bin_Ex300_340_Em550_600,bin_Ex300_340_Em600_650,bin_Ex300_340_Em650_700,bin_Ex300_340_Em700_750,bin_Ex300_340_Em750_800,bin_Ex340_380_Em300_350,bin_Ex340_380_Em350_400,bin_Ex340_380_Em400_450,bin_Ex340_380_Em450_500,bin_Ex340_380_Em500_550,bin_Ex340_380_Em550_600,bin_Ex340_380_Em600_650,bin_Ex340_380_Em650_700,bin_Ex340_380_Em700_750,bin_Ex340_380_Em750_800,bin_Ex380_420_Em300_350,bin_Ex380_420_Em350_400,bin_Ex380_420_Em400_450,bin_Ex380_420_Em450_500,bin_Ex380_420_Em500_550,bin_Ex380_420_Em550_600,bin_Ex380_420_Em600_650,bin_Ex380_420_Em650_700,bin_Ex380_420_Em700_750,bin_Ex380_420_Em750_800,bin_Ex420_460_Em300_350,bin_Ex420_460_Em350_400,bin_Ex420_460_Em400_450,bin_Ex420_460_Em450_500,bin_Ex420_460_Em500_550,bin_Ex420_460_Em550_600,bin_Ex420_460_Em600_650,bin_Ex420_460_Em650_700,bin_Ex420_460_Em700_750,bin_Ex420_460_Em750_800,bin_Ex460_500_Em300_350,bin_Ex460_500_Em350_400,bin_Ex460_500_Em400_450,bin_Ex460_500_Em450_500,bin_Ex460_500_Em500_550,bin_Ex460_500_Em550_600,bin_Ex460_500_Em600_650,bin_Ex460_500_Em650_700,bin_Ex460_500_Em700_750,bin_Ex460_500_Em750_800,bin_Ex500_540_Em300_350,bin_Ex500_540_Em350_400,bin_Ex500_540_Em400_450,bin_Ex500_540_Em450_500,bin_Ex500_540_Em500_550,bin_Ex500_540_Em550_600,bin_Ex500_540_Em600_650,bin_Ex500_540_Em650_700,bin_Ex500_540_Em700_750,bin_Ex500_540_Em750_800,bin_Ex540_580_Em300_350,bin_Ex540_580_Em350_400,bin_Ex540_580_Em400_450,bin_Ex540_580_Em450_500,bin_Ex540_580_Em500_550,bin_Ex540_580_Em550_600,bin_Ex540_580_Em600_650,bin_Ex540_580_Em650_700,bin_Ex540_580_Em700_750,bin_Ex540_580_Em750_800,bin_Ex580_620_Em300_350,bin_Ex580_620_Em350_400,bin_Ex580_620_Em400_450,bin_Ex580_620_Em450_500,bin_Ex580_620_Em500_550,bin_Ex580_620_Em550_600,bin_Ex580_620_Em600_650,bin_Ex580_620_Em650_700,bin_Ex580_620_Em700_750,bin_Ex580_620_Em750_800
A0,0,fresh,20210512_1045_AS0_F0P2A0G1.csv,16.17723095069288,571.5204468,2.3577953396761293,2.9517845862357235,69.52885379061601,47.28245776292163,1.6291177852081118,1.1214427274145387,3.320061805075385,3.1970662151223075,4.638039710754615,11.106366235385384,6.4152022954661545,2.5275612754306924,27.755745185613844,9.801099169081537,1.5461875392008,0.17492901221706153,1.7369507375216153,2.643351713468461,7.3799377544,23.102876113092307,14.7536479582,6.469272345646153,118.1207455612077,41.848607320046156,6.508416314340001,0.05258031929602308,0.2840599651003846,0.441196117268177,1.0711729974776925,3.7846914911407685,2.991836690389231,2.9076801098430765,145.0281240734,51.62319928669231,8.05574069016923,0.016575288965784613,0.02687961919465385,0.15433858551003848,0.302498981309,1.147877425413077,1.0480962492161539,2.6473486083538464,49.849030988546154,17.15474470629231,2.638172760511538,0.011958098855530768,0.012433086643330772,0.019120204169392304,0.39365786215059223,1.3949939615607692,1.2299590335761539,1.732168810643077,29.431804197961544,10.109393030915385,1.5555222580746153,0.04438004104003847,0.07189328966383846,0.05993113953418461,0.11561190050176923,5.5258961582459225,2.7536190170461534,3.668823783299231,133.83504163014615,46.71454590292308,7.105421947446154,0.042512872528538456,0.058152727741,0.058670822533615385,0.02915462913976923,1.8400903738638463,8.412496460082846,5.603168311507691,100.99642112415384,35.27548440063846,5.347611555276154,0.03937805063076923,0.077581841543,0.05241338088092307,0.02947650756630769,0.053599110805307694,3.8770125608993076,9.532651795357694,156.890299317,54.510499163638464,8.263642980797693
A1,0,fresh,20210514_0742_AS0_A1A2B0B1.csv,16.230987549277614,569.0511475,2.290630022242,2.931301841549913,70.17322337599511,47.403040163224325,1.625834709697663,1.0546344106651233,3.3168226232784614,3.275543587976154,4.605183639451539,10.959890289968461,6.317580106619231,2.429403138785385,27.08492156705616,9.560526614356153,1.522278070161646,0.17923458747763846,1.7143470259459692,2.6474609799015383,7.205963505192308,22.89901509306923,14.650527403876923,6.366249739192307,117.14043718406924,41.40543603889999,6.498577728126152,0.05806427984066923,0.29558372111581543,0.45864799577692306,1.0806601936684614,3.8629495009423085,3.0466867015469234,2.936607424564615,148.4757179451077,52.811067874692306,8.33514351936923,0.01690895166933846,0.02551993826533077,0.16419395663826922,0.30563009466976926,1.1899711368507693,1.0882547460869232,2.5244305894776926,50.41668955820769,17.397097034861538,2.688944983833077,0.00781390408333077,0.014708079570038462,0.012055832122215384,0.39068804445131533,1.4308295600776921,1.2959851136392309,1.6470522149446154,29.41780097431538,10.149351616161539,1.5812487663284616,0.04702974118653846,0.06510629981184614,0.04427175632943846,0.11176887230131538,5.483907962065955,3.0916007069461537,3.766156236973077,134.7305826112154,47.38054860207692,7.266114990607692,0.0484055648076923,0.053897685949692305,0.04249449478792308,0.044063110640538465,1.8075313687541537,9.291690437636692,6.000696356676922,101.39210078930769,35.70329286865385,5.470335657299231,0.050972996697076924,0.07002116280923076,0.06765544577792307,0.03512877406661538,0.033856788203999996,4.325259090556539,9.577511633056922,156.55494010469232,54.307356627269236,8.190866887605385
A2,0,fresh,20210514_0742_AS0_A1A2B0B1.csv,16.31668267110404,574.480835,2.200400478367291,2.8344966810177583,70.46615647177288,47.62831062663783,1.5805543228869865,0.9897674119168693,3.2388260946853844,3.122647911119231,4.484995718901538,11.193498771768462,6.539249652073077,2.5247786140526154,27.92995689299231,10.129313128653845,1.633180209666254,0.16247807665065384,1.6145292390937382,2.4904930635653844,6.9195702396846155,23.049979613461538,14.944442326953844,6.519466125107693,119.82890447986922,43.665707536723076,6.894967581168461,0.053134947405223065,0.2691784305486616,0.42577195601,1.0081700740038462,3.7628381744876926,2.9999984915015383,2.914074570422308,146.06976982293077,53.35353333384615,8.447206266161539,0.021211519836961536,0.030772163321138465,0.1429600508325923,0.27752226540346153,1.1491865838915385,1.0571103407507694,2.4229009000199997,49.311147990376924,17.459801992123076,2.7357972145323077,0.011671511714323075,0.015069281420630767,0.011990087564615384,0.3584538615475539,1.3889609687846154,1.2661011017353847,1.593115755703846,28.735293798730773,10.185664933438462,1.5977352902023076,0.04804656351053845,0.06736089152945385,0.04974879788465384,0.108717393669,5.446978259975461,3.1837141037076924,3.8042133478546156,132.85943287553846,47.49011860684616,7.294371615546923,0.04471579335915384,0.05062929309946154,0.04979296486992308,0.04929460000692308,1.8079920423043077,9.837007968093461,6.1588280696769235,100.32961374453846,35.96518380129999,5.534569811510769,0.05431831091915385,0.03940990440769231,0.05305096247946153,0.0400019414843077,0.020550572270230768,4.553558391235308,9.708532736076922,157.05546471761537,55.904219582607695,8.558968463810771
B0,0,fresh,20210514_0742_AS0_A1A2B0B1.csv,17.347010258126563,557.1166382,4.456923664180387,4.268436697693762,96.1410566007304,50.25993356148521,2.5600130598082806,1.7427043711723846,7.511170565230769,8.06097990476923,7.610011033437694,11.749530980193846,5.9746513966038455,2.5419389843752307,30.20919820192692,9.326362660148462,1.4813174193553076,0.23648536714946153,3.5864844220306153,5.8999425122869225,10.638962195415385,23.491380852707692,13.752590252815382,6.792113979015386,150.00592785207692,46.51442871080769,7.2289035336246155,0.07904595725452307,0.4606161515022308,1.0999663020633845,2.0279309275084616,4.950211482283077,3.5863429196846157,3.942971393723077,221.30460970992306,68.61743315169231,10.696011255238462,0.025285732324176923,0.035275655900361545,0.23992717940647693,0.5087330934988462,1.7235705577184617,1.4900571483538463,4.435831603626923,74.48688386863077,22.572300595669226,3.4760227716246153,0.010333565328476922,0.019294452387723076,0.021423700053653846,0.4252089653663847,1.727783585056923,1.586534153476923,2.699542548226154,35.144399181569234,10.564031815315385,1.613360627659231,0.04284347068146923,0.06401288119706923,0.04798852440956923,0.1030397915038,4.209135442123923,3.531903465953846,3.813447089438462,125.22075413666924,38.47605676646154,5.895090694220769,0.02785107633169231,0.034211985893538466,0.022777415875999997,0.031719929832,1.0885465301961537,7.863367005534847,6.4290992112846155,88.19421724953847,27.026223127576923,4.1566858309130765,0.047883264524,0.027878696944923075,0.041040053148,0.0343398088583077,0.04470253900676924,3.274153310654461,8.235289005757693,139.07009145276922,42.29051001585385,6.422119522607692
B1,0,fresh,20210514_0742_AS0_A1A2B0B1.csv,17.094027393234647,551.8338623,3.7299946651556124,3.9341871735769702,94.68264430053921,49.84699705049313,2.293307429612421,1.4065820844573078,6.4100852479538455,6.822874258755385,6.62219752024,10.957409867761537,5.700022835859231,2.4247833469323075,28.686317309099998,9.07308974904077,1.4694678117113844,0.19493734390764617,3.0940667073934613,5.186920804811537,9.534969320884615,22.378819909030767,13.278019948984616,6.589342452807693,144.5844319726154,45.694052293153845,7.148035789440769,0.08134448451184616,0.4399965648935538,1.01787702378,1.8973766097569231,4.85248651358,3.5558683349615388,3.9174431946692305,218.46175377100002,69.04329740115385,10.7700006505,0.027450913538123078,0.03892373683113846,0.2281729194711385,0.48308065162130776,1.7090689787392308,1.4926012351076923,4.506554965908462,74.18249944482307,22.819350985407695,3.5130637432907696,0.013566857185415384,0.019200629450415382,0.016822311181923077,0.38852027835186154,1.700056019176923,1.5701060290553845,2.7299021776392305,34.94077900903077,10.644167551661537,1.6368018244092306,0.049131512842899995,0.06061758609629231,0.03929726966434615,0.09182154089396154,3.6905768052403842,3.4367761328,3.834636821253847,123.84070265368462,38.635775727307696,5.925502641323845,0.03476346411561538,0.042093105135153845,0.03274869581369231,0.03352101793476923,0.8938229389746923,7.136625995355307,6.420612502169231,87.19707041192308,27.165717931800003,4.160128980008461,0.04789856943069231,0.057805860815230765,0.03726273332346154,0.01629982468423077,0.024521342853153848,2.8624426547122312,8.143945785351539,138.79365103730768,42.90032829173077,6.5366392435630765
B2,0,fresh,20210513_0905_AS0_B2C2J2L2.csv,16.087583973521564,504.4481812,3.4167872464388385,3.6784792350513564,85.74009642228921,47.05021761975601,2.099710870291476,1.2863391814120768,5.780468529814615,6.03967022654077,5.892152945778461,9.817835195782306,5.088714720988462,2.208868216930538,25.905821508730767,8.044701042522306,1.2797391231646,0.1915515152839923,2.9781267258009225,4.883126457756923,8.979300516946154,20.966480247876923,12.367821913846155,6.1868632425,133.9641791421923,42.04021533084615,6.5210792353915386,0.06684631409111538,0.39980788821915386,0.927198829599077,1.7281919252238462,4.4342763373923075,3.2264187592599995,3.571960750476154,195.88982683353848,61.49118014130769,9.542081124853846,0.02286732996323077,0.03257671582397692,0.21024231422621537,0.44043942258707697,1.524687865147692,1.32422127221,4.224563300126923,66.40947936053077,20.210066397253847,3.0934110594523077,0.014254281816607692,0.01769990115125385,0.01787373689666923,0.3627213125688154,1.5519798671207694,1.4162024764076924,2.587871171807692,32.657117598738466,9.837323625292306,1.497124083710769,0.03571100457696923,0.06816156545153845,0.04262946883461539,0.08111927954345385,3.504275407346746,3.1505915458615386,3.6515486148400003,120.82880322276154,37.4214773986923,5.709250318596923,0.03871056240484615,0.041905162389153844,0.045239894922461533,0.04443116407861538,0.8579164817350771,6.445608644855537,6.100782469623078,86.05646277015384,26.612840839415387,4.027393315323846,0.05628210521123076,0.04291608754884615,0.039738409880384615,0.0433620568793077,0.030830117543923074,2.5389866810129234,7.922925187761538,136.99203558692307,42.12242884240769,6.355353027340769
C0,0,fresh,20210514_0909_AS0_C0C1D0D1.csv,14.877371280251399,456.024231,2.5205408389294193,3.9566280602195247,73.53099669520262,41.444010096523506,2.4545097612134623,0.8970622112473076,4.7785189634384615,6.515028804524616,7.093044434494615,10.632404647533846,5.580860032221538,1.9312148879063848,20.587016825710002,6.671845088406922,1.093673540905923,0.23876467306917692,2.695773503108615,4.203125328328462,9.605813303076923,21.691989451284616,13.491719150453845,5.730693050538461,110.50606426581538,35.6676951114,5.711003261011539,0.05233909307803077,0.7048635056439694,1.017363034754923,2.099753134054615,5.58213196146923,4.229489006461538,3.3860831288,170.3076462371077,54.75692546546154,8.72959914393077,0.02364754078641539,0.032822055685376925,0.5949044917915076,0.9053722238326155,2.62462352289,2.3482977958923077,1.9289726789192307,58.01692294234615,18.70532220892308,2.980420049886154,0.012508738936430766,0.01893899765906154,0.013768677029161536,1.4845088051728694,2.835169695813077,2.344200745,1.3664934695200002,28.625362278869225,9.108272967007693,1.47391650962,0.03365371734416154,0.05395642331230769,0.0455607637274,0.2535689580199538,14.088081774326076,3.4288636547076923,3.195590790446154,111.08026592692309,35.60549234276923,5.6216081861900005,0.02223667391276923,0.03436589009715385,0.022440693253692308,0.028787301424692307,4.924375721382616,17.47923346898246,4.006515330523077,77.25665817676155,26.036292317892308,4.1809315218538465,0.04279231470715385,0.04264777622299999,0.029393495821384615,0.024713220946615384,0.04390640182930769,8.855413619594692,12.157855582835385,119.73249122696926,37.91888210236923,6.043799365479231
C1,0,fresh,20210514_0909_AS0_C0C1D0D1.csv,15.31856370098063,471.7125854,2.7062331251350966,4.124393234857745,76.13105948634151,42.77935066926582,2.5641055637086843,0.9751446640563846,5.112039538163846,7.057478472436154,7.696101161586153,11.203261756983848,5.890649387899231,2.053758453028846,21.673160677840773,7.016008306946154,1.1430741440680767,0.2602843755349231,2.7703175604894614,4.469067115580769,10.170240706815385,22.36722133343077,13.924000501784615,5.916534368792307,114.58542458515383,36.81346538996154,5.868007022555384,0.06162174770603077,0.6997482840157692,1.055467513781077,2.1954473896807696,5.745096493738463,4.3509108956615385,3.495202075515385,176.64107364689994,56.469003017,8.999889192776923,0.02254909735786923,0.030673064140523076,0.5874091165943076,0.9318398337194616,2.70991292366,2.4368074159923077,2.0169848707984612,60.275541093430775,19.311167368384616,3.089517208706923,0.011424610527946152,0.01603491767263846,0.023889158619846154,1.4488795570071615,2.8020081313423075,2.387789487823077,1.4114880277746156,29.424199538953843,9.291979540261538,1.4963206599223076,0.031816572876161534,0.0648719416489846,0.049291355685769235,0.24338173593427698,12.677199596550155,3.414280562184615,3.198663055015385,112.84239684414615,35.920121993,5.640649552372309,0.03617841443692308,0.052567933602307694,0.035380435457461536,0.02786152347707692,4.434325378860614,16.783002992439613,3.994725511653846,78.69925420396153,26.28424852454615,4.193943484837692,0.033453534113000005,0.07707518973723076,0.024672864416,0.016590751005384614,0.01328705435853846,8.902506780767231,12.59536402684,124.26049401331537,38.95711098083077,6.125974180983077
C2,0,fresh,20210513_0905_AS0_B2C2J2L2.csv,15.246484163844988,465.4428406,2.6329723525589683,4.073903266188104,75.94511896083986,42.4615872259424,2.5348099892944367,0.9404515727053077,4.979677523488461,6.7736016936130765,7.446739850028462,11.066240025124614,5.824334172233846,2.0454040217953073,21.574304902938465,6.99149070236,1.1383595783844769,0.2378597900926846,2.7235190453282305,4.350493669058462,9.972425075492307,22.332009271384617,13.960402004515386,5.959460089738462,114.64073288710769,36.86761026773077,5.893431544677693,0.06781455121687693,0.7024296319646923,1.029504454625923,2.1588158620984617,5.772720330523076,4.3814295364384614,3.5066079762769236,175.64052326797693,56.36279245546154,8.958451586499999,0.021931747952615387,0.03537753725818461,0.5865057040636154,0.9241819731225385,2.747754700349231,2.470209332607692,2.0423569403846153,60.007603580938465,19.3003959831,3.074829346622308,0.007219540950907692,0.020898988732038458,0.02311082132416923,1.4941996485130924,2.907350380135384,2.4416791686846153,1.431556959786154,29.217206533246152,9.252565124415385,1.4919034045469233,0.027779220402792307,0.05845941748543847,0.05841026534602308,0.2593032470523077,13.963498484875153,3.536666943461538,3.255884359407692,111.73532679598462,35.74256903591538,5.6175546037799995,0.03585176450838461,0.047268052148076924,0.008297763423923075,0.04155378913361539,4.918244337734616,17.803543776257076,4.029883604784615,77.71250094843077,26.053600270838462,4.15024920105923,0.032437961680923076,0.061375048153307694,0.01512868052123077,0.019830014111076922,0.06542761398823077,9.294189291582308,12.712463276978461,121.99783198846922,38.35729209883077,6.0203872273092305
D0,0,fresh,20210514_0909_AS0_C0C1D0D1.csv,16.60874904341376,571.2086792,2.61592960365929,2.8303407319332394,71.27251491942322,48.295941229071126,1.828904153770011,0.9135097573913078,4.4915193094269235,5.042770326554616,6.385946926647692,12.591996697556922,7.028527128224615,2.4808293529413077,29.668904083435386,11.55546500618077,1.852632914943,0.19553184299016152,1.8032025037346924,2.8239533885323076,7.354343430992309,22.272432129376927,14.780413866076923,6.438820435453847,126.83917305733075,49.28718965953846,7.805051943107692,0.05732934518710771,0.23899286800615382,0.4248510260531538,1.0686478040169232,3.603428315322308,2.898932124063077,2.808783774156923,139.82940407644617,54.37267241815384,8.632575826769232,0.019524040366753845,0.030053653654392304,0.1387985800211077,0.32287089418668463,1.3625226997330768,1.2745332099,1.53520448621,47.97586844359999,18.438439692,2.905470276632308,0.006748510732323076,0.01836520098410769,0.014301846755699997,0.33982361316863846,1.4606264201399999,1.4933224293007692,1.0676818549838463,28.112835796361537,10.795466549507694,1.7186281549076923,0.04361839658386154,0.06700209437761538,0.05519932164712307,0.10429200568818463,4.712998240769538,3.187731495269231,3.759772204430769,133.8992681709846,51.187041355999995,7.963234097953847,0.032708375691923086,0.04771355360507692,0.04757661796446154,0.04829354454492307,1.520454277211923,7.536965405882308,5.202716022215384,101.5105469943846,39.561653643538456,6.196785473655385,0.064767408184,0.07957313401784614,0.05232486997,0.046131155897999994,0.038707041256153846,3.4675327188295375,8.680377542341539,157.0001695560769,59.56328901738462,9.261198992886154
