"Tset","RHset","kWh_cool","kWh_heat","LM","PI","EMC","LIM","mould_margin","dp"
20.5,54,22358.9885,616.7513,0.8437,36.3039,9.9167,75.4662,21.4662,10.8742
21,54,21323.6905,781.4002,0.787,34.0917,9.9026,75.3236,21.3236,11.3383
21.5,54,20302.0607,979.0981,0.7342,32.0211,9.8882,75.1907,21.1907,11.8023
22,54,19297.2457,1213.4801,0.6852,30.0827,9.8735,75.0671,21.0671,12.2663
22.5,54,18312.5943,1488.3945,0.6395,28.2676,9.8586,74.9524,20.9524,12.7302
23,54,17350.2191,1806.4651,0.5971,26.5676,9.8434,74.8465,20.8465,13.1941
23.5,54,16410.2456,2168.3401,0.5576,24.9751,9.8279,74.749,20.749,13.6579
24,54,15491.5186,2573.399,0.5208,23.4829,9.8122,74.6597,20.6597,14.1216
24.5,54,14592.0708,3020.2212,0.4866,22.0844,9.7963,74.5784,20.5784,14.5852
25,54,13715.8555,3513.3195,0.4547,20.7735,9.7801,74.5048,20.5048,15.0488
25.5,54,12859.7628,4050.1562,0.425,19.5444,9.7637,74.4387,20.4387,15.5124
26,54,12024.8344,4632.3582,0.3973,18.3918,9.7471,74.3801,20.3801,15.9758
26.5,54,11210.8623,5260.316,0.3716,17.3107,9.7302,74.3287,20.3287,16.4392
27,54,10416.4499,5933.2458,0.3475,16.2964,9.7131,74.2844,20.2844,16.9026
27.5,54,9641.6909,6651.8676,0.3251,15.3446,9.6958,74.2471,20.2471,17.3659
28,54,8888.3696,7418.6066,0.3042,14.4513,9.6782,74.2167,20.2167,17.8291
18,55,27292.3338,163.0253,1.1711,48.9681,10.1551,76.3373,21.3373,8.8241
18.5,55,26232.4199,224.2786,1.091,45.9344,10.1421,76.1405,21.1405,9.2895
19,55,25172.5546,303.0092,1.0167,43.0981,10.1288,75.9555,20.9555,9.7549
19.5,55,24114.562,401.4867,0.9476,40.4458,10.1152,75.7817,20.7817,10.2202
20,55,23060.4814,522.2062,0.8835,37.9649,10.1013,75.6188,20.6188,10.6855
20.5,55,22012.7811,668.1016,0.8239,35.6438,10.0871,75.4662,20.4662,11.1506
21,55,20976.2339,844.423,0.7684,33.4719,10.0727,75.3236,20.3236,11.6158
21.5,55,19954.6688,1055.4865,0.7169,31.4389,10.058,75.1907,20.1907,12.0808
22,55,18951.1482,1304.8535,0.669,29.5358,10.0431,75.0671,20.0671,12.5458
22.5,55,17968.6018,1595.9639,0.6245,27.7537,10.0278,74.9524,19.9524,13.0107
23,55,17009.622,1931.9318,0.583,26.0846,10.0124,74.8465,19.8465,13.4756
23.5,55,16072.4168,2311.4991,0.5444,24.521,9.9966,74.749,19.749,13.9404
24,55,15155.5136,2733.7391,0.5085,23.0559,9.9807,74.6597,19.6597,14.4052
24.5,55,14259.8375,3200.1355,0.4751,21.6829,9.9644,74.5784,19.5784,14.8699
25,55,13386.7055,3712.5768,0.444,20.3958,9.948,74.5048,19.5048,15.3345
25.5,55,12534.1298,4269.6592,0.415,19.1891,9.9313,74.4387,19.4387,15.799
26,55,11703.2692,4873.1399,0.388,18.0574,9.9143,74.3801,19.3801,16.2635
26.5,55,10892.7821,5522.2887,0.3628,16.9959,9.8972,74.3287,19.3287,16.728
27,55,10102.3248,6217.3877,0.3393,16.0001,9.8798,74.2844,19.2844,17.1923
27.5,55,9331.8311,6959.0109,0.3175,15.0656,9.8622,74.2471,19.2471,17.6567
28,55,8582.6368,7749.1493,0.2971,14.1885,9.8443,74.2167,19.2167,18.1209
18,56,26971.0457,180.1792,1.144,48.0936,10.3296,76.3373,20.3373,9.0912
18.5,56,25904.9292,246.4077,1.0658,45.1141,10.3163,76.1405,20.1405,9.5576
19,56,24840.0307,331.6156,0.9931,42.3285,10.3027,75.9555,19.9555,10.024
19.5,56,23777.738,437.6454,0.9257,39.7235,10.2888,75.7817,19.7817,10.4903
20,56,22719.6482,566.5587,0.863,37.2869,10.2747,75.6188,19.6188,10.9565
20.5,56,21669.6643,722.7345,0.8048,35.0073,10.2602,75.4662,19.4662,11.4227
21,56,20631.8775,910.7502,0.7507,32.8741,10.2455,75.3236,19.3236,11.8888
21.5,56,19611.0444,1135.8599,0.7003,30.8775,10.2306,75.1907,19.1907,12.3549
22,56,18609.2498,1400.6577,0.6535,29.0084,10.2153,75.0671,19.0671,12.8209
22.5,56,17629.5418,1708.7124,0.61,27.2581,10.1998,74.9524,18.9524,13.2868
23,56,16673.3032,2061.9393,0.5695,25.6188,10.1841,74.8465,18.8465,13.7527
23.5,56,15739.1372,2459.4867,0.5318,24.0831,10.1681,74.749,18.749,14.2185
24,56,14824.447,2899.315,0.4968,22.6442,10.1518,74.6597,18.6597,14.6843
24.5,56,13932.9645,3385.7264,0.4641,21.2957,10.1353,74.5784,18.5784,15.15
25,56,13062.843,3917.4577,0.4337,20.0316,10.1185,74.5048,18.5048,15.6156
25.5,56,12213.9796,4495.0028,0.4054,18.8464,10.1015,74.4387,18.4387,16.0812
26,56,11386.8714,5119.4693,0.379,17.735,10.0843,74.3801,18.3801,16.5467
26.5,56,10579.7844,5789.7481,0.3544,16.6924,10.0668,74.3287,18.3287,17.0121
27,56,9792.993,6506.7525,0.3315,15.7144,10.0492,74.2844,18.2844,17.4775
27.5,56,9027.3994,7272.039,0.3101,14.7966,10.0312,74.2471,18.2471,17.9428
28,56,8282.3626,8085.6356,0.2902,13.9352,10.0131,74.2167,18.2167,18.4081
18,57,26650.8393,198.5542,1.118,47.2499,10.507,76.3373,19.3373,9.3542
18.5,57,25579.2473,270.4943,1.0415,44.3227,10.4934,76.1405,19.1405,9.8215
19,57,24509.2951,362.1689,0.9705,41.5859,10.4796,75.9555,18.9555,10.2889
19.5,57,23442.5997,475.6586,0.9046,39.0266,10.4654,75.7817,18.7817,10.7562
20,57,22381.2767,613.5532,0.8434,36.6328,10.451,75.6188,18.6188,11.2234
20.5,57,21329.3883,780.4,0.7865,34.3932,10.4363,75.4662,18.4662,11.6905
21,57,20291.5722,981.3329,0.7336,32.2974,10.4213,75.3236,18.3236,12.1576
21.5,57,19271.1214,1220.1526,0.6844,30.3358,10.406,75.1907,18.1907,12.6247
22,57,18271.5448,1500.8873,0.6387,28.4994,10.3905,75.0671,18.0671,13.0917
22.5,57,17295.0913,1826.3174,0.5961,26.7799,10.3747,74.9524,17.9524,13.5586
23,57,16341.642,2196.8673,0.5566,25.1693,10.3587,74.8465,17.8465,14.0255
23.5,57,15409.8712,2611.7675,0.5197,23.6606,10.3424,74.749,17.749,14.4923
24,57,14498.3526,3070.1606,0.4855,22.247,10.3258,74.6597,17.6597,14.959
24.5,57,13610.7212,3576.2636,0.4536,20.9221,10.309,74.5784,17.5784,15.4257
25,57,12743.6845,4127.3795,0.4238,19.6802,10.292,74.5048,17.5048,15.8923
25.5,57,11898.7567,4725.6318,0.3962,18.5158,10.2747,74.4387,17.4387,16.3589
26,57,11075.1102,5370.816,0.3704,17.4238,10.2572,74.3801,17.3801,16.8254
26.5,57,10271.7849,6062.6104,0.3463,16.3996,10.2394,74.3287,17.3287,17.2919
27,57,9488.8866,6801.7729,0.3239,15.4387,10.2214,74.2844,17.2844,17.7583
27.5,57,8727.9041,7590.4605,0.303,14.537,10.2032,74.2471,17.2471,18.2246
28,57,7987.5263,8428.0454,0.2836,13.6907,10.1848,74.2167,17.2167,18.6909
18,58,26331.5525,217.9884,1.093,46.4352,10.6875,76.3373,18.3373,9.6131
18.5,58,25255.0506,296.215,1.0182,43.5585,10.6737,76.1405,18.1405,10.0814
19,58,24180.4098,394.7312,0.9488,40.8689,10.6596,75.9555,17.9555,10.5497
19.5,58,23109.6644,516.0441,0.8844,38.3537,10.6452,75.7817,17.7817,11.018
20,58,22045.3067,663.1295,0.8245,36.0012,10.6305,75.6188,17.6188,11.4861
20.5,58,20992.2882,841.4335,0.7689,33.8002,10.6155,75.4662,17.4662,11.9543
21,58,19954.6397,1055.4931,0.7172,31.7405,10.6002,75.3236,17.3236,12.4223
21.5,58,18935.6262,1309.091,0.6691,29.8128,10.5847,75.1907,17.1907,12.8904
22,58,17938.2796,1605.7888,0.6244,28.0081,10.5689,75.0671,17.0671,13.3583
22.5,58,16965.1943,1948.723,0.5828,26.3181,10.5528,74.9524,16.9524,13.8262
23,58,16014.6044,2336.6819,0.5441,24.7354,10.5365,74.8465,16.8465,14.294
23.5,58,15084.7171,2768.4402,0.5081,23.2527,10.5199,74.749,16.749,14.7618
24,58,14177.2168,3246.2626,0.4746,21.8634,10.503,74.6597,16.6597,15.2296
24.5,58,13292.5951,3771.2348,0.4434,20.5614,10.4859,74.5784,16.5784,15.6972
25,58,12429.3389,4342.4511,0.4144,19.3409,10.4686,74.5048,16.5048,16.1648
25.5,58,11588.4953,4961.5805,0.3873,18.1965,10.451,74.4387,16.4387,16.6324
26,58,10768.3676,5627.5625,0.3621,17.1234,10.4332,74.3801,16.3801,17.0999
26.5,58,9969.0255,6341.1177,0.3386,16.1168,10.4151,74.3287,16.3287,17.5673
27,58,9190.5864,7103.0301,0.3167,15.1725,10.3968,74.2844,16.2844,18.0347
27.5,58,8433.7422,7914.6729,0.2963,14.2863,10.3783,74.2471,16.2471,18.502
28,58,7697.9763,8776.2277,0.2772,13.4547,10.3596,74.2167,16.2167,18.9693
18,59,26013.5034,238.8,1.069,45.6482,10.8715,76.3373,17.3373,9.8681
18.5,59,24932.2919,323.5225,0.9959,42.8202,10.8574,76.1405,17.1405,10.3374
19,59,23853.4002,429.328,0.928,40.1762,10.843,75.9555,16.9555,10.8066
19.5,59,22778.7799,558.6496,0.865,37.7037,10.8283,75.7817,16.7817,11.2758
20,59,21712.2107,715.7602,0.8064,35.391,10.8133,75.6188,16.6188,11.7449
20.5,59,20658.0484,905.5196,0.752,33.2273,10.798,75.4662,16.4662,12.214
21,59,19621.2557,1133.4066,0.7014,31.2026,10.7825,75.3236,16.3236,12.683
21.5,59,18604.0395,1402.156,0.6544,29.3075,10.7667,75.1907,16.1907,13.152
22,59,17609.6305,1715.5386,0.6107,27.5334,10.7506,75.0671,16.0671,13.6209
22.5,59,16639.3407,2075.4191,0.57,25.8721,10.7342,74.9524,15.9524,14.0898
23,59,15691.8186,2481.0115,0.5322,24.3161,10.7176,74.8465,15.8465,14.5586
23.5,59,14764.3518,2930.1818,0.497,22.8586,10.7007,74.749,15.749,15.0273
24,59,13861.093,3427.6749,0.4642,21.4928,10.6836,74.6597,15.6597,15.496
24.5,59,12979.4697,3971.5239,0.4337,20.2129,10.6662,74.5784,15.5784,15.9647
25,59,12119.9746,4562.8413,0.4053,19.0131,10.6485,74.5048,15.5048,16.4332
25.5,59,11282.7382,5202.3923,0.3788,17.8881,10.6306,74.4387,15.4387,16.9018
26,59,10466.2023,5889.2676,0.3541,16.8332,10.6125,74.3801,15.3801,17.3702
26.5,59,9670.3447,6624.1093,0.3311,15.8437,10.5941,74.3287,15.3287,17.8386
27,59,8897.0082,7409.4401,0.3097,14.9153,10.5756,74.2844,15.2844,18.307
27.5,59,8144.4746,8244.2378,0.2898,14.0442,10.5567,74.2471,15.2471,18.7753
28,59,7413.5843,9130.0547,0.2711,13.2266,10.5377,74.2167,15.2167,19.2435
18,60,25697.2632,261.5602,1.0458,44.8874,11.0591,76.3373,16.3373,10.1193
18.5,60,24611.0278,352.4738,0.9743,42.1065,11.0447,76.1405,16.1405,10.5895
19,60,23528.0486,465.7416,0.9079,39.5066,11.03,75.9555,15.9555,11.0597
19.5,60,22450.2134,603.7426,0.8463,37.0753,11.0151,75.7817,15.7817,11.5298
20,60,21381.8108,771.2674,0.789,34.8011,10.9998,75.6188,15.6188,11.9999
20.5,60,20327.6687,973.6581,0.7357,32.6735,10.9843,75.4662,15.4662,12.4699
21,60,19291.3345,1214.9878,0.6863,30.6825,10.9684,75.3236,15.3236,12.9399
21.5,60,18276.4135,1499.4,0.6403,28.819,10.9523,75.1907,15.1907,13.4098
22,60,17285.32,1829.8595,0.5975,27.0745,10.9359,75.0671,15.0671,13.8797
22.5,60,16317.9227,2206.7984,0.5577,25.4409,10.9193,74.9524,14.9524,14.3495
23,60,15372.7564,2629.3281,0.5207,23.9109,10.9023,74.8465,14.8465,14.8192
23.5,60,14448.65,3096.8673,0.4862,22.4776,10.8852,74.749,14.749,15.2889
24,60,13549.0157,3613.4318,0.4541,21.1346,10.8677,74.6597,14.6597,15.7585
24.5,60,12670.7133,4176.4993,0.4243,19.876,10.85,74.5784,14.5784,16.2281
25,60,11815.1991,4788.1581,0.3965,18.6962,10.8321,74.5048,14.5048,16.6977
25.5,60,10981.5034,5448.0855,0.3706,17.59,10.8139,74.4387,14.4387,17.1671
26,60,10168.8588,6156.1763,0.3465,16.5526,10.7955,74.3801,14.3801,17.6366
26.5,60,9377.2804,6913.1233,0.324,15.5796,10.7768,74.3287,14.3287,18.1059
27,60,8608.1806,7721.0324,0.303,14.6667,10.7579,74.2844,14.2844,18.5753
27.5,60,7860.397,8579.4512,0.2835,13.8101,10.7387,74.2471,14.2471,19.0445
28,60,7134.6501,9489.8268,0.2653,13.0062,10.7194,74.2167,14.2167,19.5137
18,61,25382.4611,285.8984,1.0236,44.1515,11.2506,76.3373,15.3373,10.3668
18.5,61,24291.6801,383.4905,0.9536,41.4163,11.2359,76.1405,15.1405,10.838
19,61,23204.6425,504.2599,0.8886,38.859,11.221,75.9555,14.9555,11.3091
19.5,61,22123.894,651.2522,0.8283,36.4675,11.2057,75.7817,14.7817,11.7801
20,61,21054.3961,829.9406,0.7722,34.2306,11.1902,75.6188,14.6188,12.2511
20.5,61,20000.3985,1045.0986,0.7201,32.1379,11.1743,75.4662,14.4662,12.7221
21,61,18965.5671,1300.9279,0.6717,30.1795,11.1582,75.3236,14.3236,13.193
21.5,61,17952.952,1601.0269,0.6266,28.3466,11.1418,75.1907,14.1907,13.6638
22,61,16965.2851,1948.6886,0.5848,26.6306,11.1251,75.0671,14.0671,14.1346
22.5,61,16000.8017,2342.7225,0.5458,25.0238,11.1082,74.9524,13.9524,14.6054
23,61,15057.6386,2781.8529,0.5096,23.5189,11.091,74.8465,13.8465,15.076
23.5,61,14137.6622,3268.5474,0.4759,22.1091,11.0735,74.749,13.749,15.5467
24,61,13241.1053,3803.6543,0.4445,20.7881,11.0558,74.6597,13.6597,16.0172
24.5,61,12366.6525,4386.488,0.4153,19.5501,11.0378,74.5784,13.5784,16.4878
25,61,11515.2154,5018.6046,0.3881,18.3897,11.0195,74.5048,13.5048,16.9583
25.5,61,10684.9755,5698.8451,0.3627,17.3016,11.001,74.4387,13.4387,17.4287
26,61,9876.1678,6428.1199,0.3391,16.2813,10.9823,74.3801,13.3801,17.899
26.5,61,9089.2575,7207.5851,0.3171,15.3242,10.9633,74.3287,13.3287,18.3694
27,61,8324.279,8037.9826,0.2966,14.4263,10.9441,74.2844,13.2844,18.8396
27.5,61,7581.2088,8920.013,0.2775,13.5837,10.9246,74.2471,13.2471,19.3098
28,61,6860.5112,9854.882,0.2596,12.7929,10.9049,74.2167,13.2167,19.78
18,62,25069.0397,311.7572,1.0022,43.4394,11.4462,76.3373,14.3373,10.6108
18.5,62,23973.9567,416.2809,0.9337,40.7483,11.4313,76.1405,14.1405,11.0829
19,62,22883.2054,544.9062,0.8701,38.2322,11.4161,75.9555,13.9555,11.5549
19.5,62,21800.1521,701.5088,0.811,35.8793,11.4006,75.7817,13.7817,12.0269
20,62,20729.595,891.4082,0.7561,33.6785,11.3847,75.6188,13.6188,12.4988
20.5,62,19676.5745,1120.1779,0.705,31.6195,11.3686,75.4662,13.4662,12.9706
21,62,18643.5491,1390.8227,0.6576,29.6928,11.3522,75.3236,13.3236,13.4425
21.5,62,17633.8537,1707.2357,0.6135,27.8894,11.3355,75.1907,13.1907,13.9142
22,62,16649.0586,2071.5589,0.5725,26.2011,11.3185,75.0671,13.0671,14.3859
22.5,62,15687.6842,2482.8979,0.5344,24.6202,11.3013,74.9524,12.9524,14.8576
23,62,14747.006,2939.1267,0.4989,23.1396,11.2838,74.8465,12.8465,15.3292
23.5,62,13831.3122,3445.1462,0.4659,21.7525,11.266,74.749,12.749,15.8007
24,62,12937.8121,3998.7931,0.4352,20.4528,11.2479,74.6597,12.6597,16.2723
24.5,62,12067.1478,4601.351,0.4066,19.2348,11.2296,74.5784,12.5784,16.7437
25,62,11219.3209,5253.4786,0.3799,18.0931,11.2111,74.5048,12.5048,17.2151
25.5,62,10392.7691,5954.286,0.3551,17.0226,11.1923,74.4387,12.4387,17.6865
26,62,9587.6045,6704.5737,0.332,16.0187,11.1732,74.3801,12.3801,18.1578
26.5,62,8805.6276,7506.8466,0.3105,15.077,11.1539,74.3287,12.3287,18.629
27,62,8045.1589,8360.1467,0.2904,14.1936,11.1344,74.2844,12.2844,19.1002
27.5,62,7307.0256,9266.0395,0.2717,13.3646,11.1146,74.2471,12.2471,19.5714
28,62,6593.1579,10227.2112,0.2542,12.5866,11.0946,74.2167,12.2167,20.0425
18,63,24756.9029,339.0406,0.9816,42.7499,11.6464,76.3373,13.3373,10.8514
18.5,63,23657.971,450.9581,0.9145,40.1015,11.6312,76.1405,13.1405,11.3243
19,63,22563.8689,587.8124,0.8521,37.6253,11.6157,75.9555,12.9555,11.7972
19.5,63,21479.037,754.562,0.7943,35.3098,11.5998,75.7817,12.7817,12.2701
20,63,20408.3531,956.6158,0.7405,33.1439,11.5837,75.6188,12.6188,12.7429
20.5,63,19355.9064,1198.606,0.6905,31.1176,11.5673,75.4662,12.4662,13.2157
21,63,18325.1877,1484.5794,0.6441,29.2215,11.5506,75.3236,12.3236,13.6884
21.5,63,17318.835,1817.7428,0.6009,27.4467,11.5336,75.1907,12.1907,14.1611
22,63,16336.985,2198.8151,0.5608,25.7852,11.5163,75.0671,12.0671,14.6337
22.5,63,15378.0587,2626.8134,0.5234,24.2294,11.4988,74.9524,11.9524,15.1063
23,63,14440.8036,3101.0948,0.4887,22.7723,11.481,74.8465,11.8465,15.5788
23.5,63,13528.6749,3625.7389,0.4563,21.4072,11.4629,74.749,11.749,16.0512
24,63,12638.5761,4198.2881,0.4262,20.1282,11.4445,74.6597,11.6597,16.5237
24.5,63,11771.9493,4820.8384,0.3982,18.9295,11.4259,74.5784,11.5784,16.996
25,63,10927.693,5492.9578,0.3721,17.8059,11.4071,74.5048,11.5048,17.4684
25.5,63,10105.2054,6214.7298,0.3478,16.7524,11.3879,74.4387,11.4387,17.9406
26,63,9304.4273,6986.7967,0.3252,15.7644,11.3686,74.3801,11.3801,18.4129
26.5,63,8526.607,7811.1247,0.3041,14.8377,11.349,74.3287,11.3287,18.885
27,63,7770.788,8687.4929,0.2844,13.9683,11.3291,74.2844,11.2844,19.3571
27.5,63,7037.7004,9617.384,0.2661,13.1525,11.309,74.2471,11.2471,19.8292
28,63,6331.3824,10605.6071,0.249,12.3868,11.2887,74.2167,11.2167,20.3012
18,64,24446.5338,368.2318,0.9617,42.0819,11.8513,76.3373,12.3373,11.0886
18.5,64,23343.6001,487.3998,0.8959,39.4749,11.8358,76.1405,12.1405,11.5624
19,64,22246.7166,633.0619,0.8349,37.0374,11.82,75.9555,11.9555,12.0362
19.5,64,21160.686,810.5491,0.7782,34.7581,11.8039,75.7817,11.7817,12.51
20,64,20090.0997,1024.993,0.7255,32.626,11.7875,75.6188,11.6188,12.9837
20.5,64,19039.0568,1281.0455,0.6765,30.6314,11.7708,75.4662,11.4662,13.4573
21,64,18010.6916,1582.407,0.631,28.7649,11.7538,75.3236,11.3236,13.9309
21.5,64,17007.9202,1932.5728,0.5887,27.0178,11.7365,75.1907,11.1907,14.4045
22,64,16028.9975,2330.3907,0.5494,25.3823,11.7189,75.0671,11.0671,14.878
22.5,64,15072.1234,2774.6674,0.5128,23.8508,11.7011,74.9524,10.9524,15.3515
23,64,14139.043,3267.7691,0.4788,22.4164,11.6829,74.8465,10.8465,15.8249
23.5,64,13230.0626,3810.6379,0.4471,21.0727,11.6645,74.749,10.749,16.2983
24,64,12343.8377,4402.5802,0.4176,19.8137,11.6459,74.6597,10.6597,16.7716
24.5,64,11481.2721,5045.1658,0.3901,18.6337,11.627,74.5784,10.5784,17.2449
25,64,10640.446,5737.1569,0.3646,17.5277,11.6078,74.5048,10.5048,17.7181
25.5,64,9821.6847,6479.5771,0.3408,16.4906,11.5883,74.4387,10.4387,18.1913
26,64,9025.6819,7273.8347,0.3186,15.5181,11.5687,74.3801,10.3801,18.6644
26.5,64,8252.0511,8120.2752,0.2979,14.6059,11.5487,74.3287,10.3287,19.1375
27,64,7501.0186,9019.874,0.2786,13.7501,11.5286,74.2844,10.2844,19.6105
27.5,64,6773.3823,9974.1964,0.2607,12.947,11.5081,74.2471,10.2471,20.0835
28,64,6075.7212,10990.6068,0.2439,12.1933,11.4875,74.2167,10.2167,20.5564
18,65,24137.7044,399.1029,0.9425,41.4345,12.0612,76.3373,11.3373,11.3225
18.5,65,23031.1477,525.9094,0.8781,38.8676,12.0454,76.1405,11.1405,11.7973
19,65,21931.7535,680.6603,0.8182,36.4676,12.0294,75.9555,10.9555,12.2719
19.5,65,20844.7932,869.1645,0.7626,34.2233,12.013,75.7817,10.7817,12.7466
20,65,19775.1725,1096.8775,0.711,32.1241,11.9963,75.6188,10.6188,13.2211
20.5,65,18725.9239,1367.3947,0.663,30.1602,11.9793,75.4662,10.4662,13.6957
21,65,17700.3779,1684.6227,0.6184,28.3223,11.962,75.3236,10.3236,14.1702
21.5,65,16700.5551,2051.1717,0.577,26.6022,11.9444,75.1907,10.1907,14.6446
22,65,15724.8004,2465.99,0.5384,24.9918,11.9265,75.0671,10.0671,15.119
22.5,65,14770.4551,2927.037,0.5026,23.4839,11.9084,74.9524,9.9524,15.5934
23,65,13841.6511,3439.0767,0.4692,22.0716,11.8899,74.8465,9.8465,16.0677
23.5,65,12935.7668,4000.1351,0.4382,20.7485,11.8712,74.749,9.749,16.5419
24,65,12053.3681,4611.4407,0.4093,19.5089,11.8523,74.6597,9.6597,17.0161
24.5,65,11194.4097,5273.6268,0.3824,18.3471,11.833,74.5784,9.5784,17.4903
25,65,10357.3357,5985.8319,0.3573,17.258,11.8135,74.5048,9.5048,17.9644
25.5,65,9542.3464,6748.9676,0.334,16.2369,11.7938,74.4387,9.4387,18.4385
26,65,8751.1166,7565.4367,0.3122,15.2793,11.7738,74.3801,9.3801,18.9125
26.5,65,7982.1115,8434.4499,0.292,14.3812,11.7535,74.3287,9.3287,19.3865
27,65,7236.1187,9357.5584,0.2731,13.5385,11.733,74.2844,9.2844,19.8604
27.5,65,6515.4686,10337.8741,0.2555,12.7478,11.7123,74.2471,9.2471,20.3343
28,65,5825.7101,11381.7467,0.2391,12.0057,11.6913,74.2167,9.2167,20.8082
18,66,23830.5876,431.8269,0.924,40.8067,12.2766,76.3373,10.3373,11.5533
18.5,66,22720.5627,566.4358,0.8608,38.2787,12.2605,76.1405,10.1405,12.0289
19,66,21619.4051,731.0328,0.8021,35.9151,12.2442,75.9555,9.9555,12.5045
19.5,66,20531.9166,930.9662,0.7476,33.7048,12.2275,75.7817,9.7817,12.98
20,66,19463.2472,1171.9453,0.697,31.6374,12.2105,75.6188,9.6188,13.4554
20.5,66,18416.0558,1457.202,0.65,29.7032,12.1932,75.4662,9.4662,13.9308
21,66,17393.88,1790.8601,0.6063,27.8932,12.1756,75.3236,9.3236,14.4062
21.5,66,16397.0148,2173.8145,0.5656,26.1991,12.1577,75.1907,9.1907,14.8815
22,66,15423.9196,2605.1392,0.5278,24.6131,12.1395,75.0671,9.0671,15.3568
22.5,66,14472.9346,3083.803,0.4927,23.1281,12.1211,74.9524,8.9524,15.832
23,66,13547.7856,3614.1755,0.46,21.7372,12.1023,74.8465,8.8465,16.3072
23.5,66,12645.2879,4193.731,0.4296,20.4342,12.0833,74.749,8.749,16.7823
24,66,11766.9367,4824.6395,0.4012,19.2133,12.0641,74.6597,8.6597,17.2574
24.5,66,10911.6029,5506.4627,0.3749,18.0691,12.0445,74.5784,8.5784,17.7325
25,66,10078.6434,6239.2646,0.3503,16.9965,12.0247,74.5048,8.5048,18.2075
25.5,66,9268.0515,7023.7628,0.3274,15.9909,12.0046,74.4387,8.4387,18.6824
26,66,8480.9938,7861.8653,0.3061,15.0478,11.9843,74.3801,8.3801,19.1573
26.5,66,7716.598,8753.4593,0.2862,14.1633,11.9637,74.3287,8.3287,19.6322
27,66,6975.523,9699.9813,0.2677,13.3334,11.9429,74.2844,8.2844,20.107
27.5,66,6262.8898,10707.3486,0.2505,12.5547,11.9218,74.2471,8.2471,20.5818
28,66,5581.0862,11778.7645,0.2344,11.8238,11.9005,74.2167,8.2167,21.0565
18,67,23524.8858,466.1063,0.9061,40.1977,12.4977,76.3373,9.3373,11.7811
18.5,67,22412.0278,609.1623,0.8441,37.7073,12.4814,76.1405,9.1405,12.2575
19,67,21309.4035,783.9118,0.7866,35.379,12.4647,75.9555,8.9555,12.7339
19.5,67,20222.2888,996.1867,0.7332,33.2017,12.4478,75.7817,8.7817,13.2103
20,67,19154.5228,1250.3954,0.6835,31.1652,12.4305,75.6188,8.6188,13.6866
20.5,67,18109.9162,1550.9311,0.6374,29.2598,12.4129,75.4662,8.4662,14.1629
21,67,17091.3679,1901.2893,0.5945,27.4769,12.395,75.3236,8.3236,14.6391
21.5,67,16097.4602,2300.6626,0.5547,25.8081,12.3768,75.1907,8.1907,15.1153
22,67,15126.4485,2747.9318,0.5176,24.2458,12.3583,75.0671,8.0671,15.5914
22.5,67,14179.5481,3244.9519,0.4832,22.7829,12.3396,74.9524,7.9524,16.0675
23,67,13257.6183,3793.2375,0.4511,21.4127,12.3205,74.8465,7.8465,16.5435
23.5,67,12359.0496,4391.8497,0.4212,20.1292,12.3012,74.749,7.749,17.0195
24,67,11484.7809,5042.4141,0.3935,18.9265,12.2816,74.6597,7.6597,17.4955
24.5,67,10632.8724,5743.6943,0.3676,17.7994,12.2617,74.5784,7.5784,17.9714
25,67,9803.6064,6496.6925,0.3435,16.7428,12.2416,74.5048,7.5048,18.4473
25.5,67,8997.8436,7303.0065,0.3211,15.7522,12.2212,74.4387,7.4387,18.9231
26,67,8214.9889,8162.7964,0.3002,14.8232,12.2006,74.3801,7.3801,19.3989
26.5,67,7455.4062,9077.1994,0.2807,13.9519,12.1796,74.3287,7.3287,19.8746
27,67,6720.2146,10048.1263,0.2625,13.1344,12.1585,74.2844,7.2844,20.3503
27.5,67,6015.8034,11082.7775,0.2456,12.3673,12.1371,74.2471,7.2471,20.826
28,67,5343.0054,12182.8165,0.2298,11.6473,12.1155,74.2167,7.2167,21.3016
18,68,23220.9198,502.2619,0.8888,39.6065,12.7251,76.3373,8.3373,12.0059
18.5,68,22105.4749,654.0204,0.828,37.1528,12.7084,76.1405,8.1405,12.4832
19,68,21002.0673,839.6159,0.7716,34.8588,12.6915,75.9555,7.9555,12.9604
19.5,68,19915.5029,1064.4196,0.7192,32.7135,12.6742,75.7817,7.7817,13.4376
20,68,18849.5572,1332.7858,0.6705,30.7069,12.6566,75.6188,7.6188,13.9147
20.5,68,17807.6408,1648.7179,0.6253,28.8296,12.6388,75.4662,7.4662,14.3919
21,68,16792.1784,2015.2472,0.5832,27.0728,12.6206,75.3236,7.3236,14.8689
21.5,68,15801.4662,2431.291,0.5441,25.4286,12.6021,75.1907,7.1907,15.346
22,68,14832.9751,2894.956,0.5078,23.8892,12.5833,75.0671,7.0671,15.8229
22.5,68,13890.3636,3410.552,0.4739,22.4478,12.5642,74.9524,6.9524,16.2999
23,68,12971.5699,3976.6836,0.4425,21.0978,12.5448,74.8465,6.8465,16.7768
23.5,68,12076.8324,4594.2717,0.4132,19.8332,12.5252,74.749,6.749,17.2536
24,68,11206.2128,5264.077,0.386,18.6482,12.5053,74.6597,6.6597,17.7305
24.5,68,10358.0716,5985.1755,0.3606,17.5376,12.4851,74.5784,6.5784,18.2072
